algorithm,n,distribution,elapsed_ms,comparisons,array_accesses,assignments
BoyerMooreMajority,100,random,0,016,251,200,253
BoyerMooreMajority,100,random,0,017,251,200,253
BoyerMooreMajority,100,random,0,008,252,200,252
BoyerMooreMajority,100,random,0,010,251,200,253
BoyerMooreMajority,100,random,0,008,251,200,253
BoyerMooreMajority,100,majority,0,012,300,200,204
BoyerMooreMajority,100,majority,0,010,289,200,215
BoyerMooreMajority,100,majority,0,012,296,200,208
BoyerMooreMajority,100,majority,0,010,296,200,208
BoyerMooreMajority,100,majority,0,011,293,200,211
BoyerMooreMajority,100,balanced,0,012,293,200,211
BoyerMooreMajority,100,balanced,0,011,286,200,218
BoyerMooreMajority,100,balanced,0,010,295,200,209
BoyerMooreMajority,100,balanced,0,010,292,200,212
BoyerMooreMajority,100,balanced,0,012,296,200,208
BoyerMooreMajority,1000,random,0,080,2501,2000,2503
BoyerMooreMajority,1000,random,0,080,2501,2000,2503
BoyerMooreMajority,1000,random,0,080,2501,2000,2503
BoyerMooreMajority,1000,random,0,082,2502,2000,2502
BoyerMooreMajority,1000,random,0,079,2501,2000,2503
BoyerMooreMajority,1000,majority,0,093,2988,2000,2016
BoyerMooreMajority,1000,majority,0,093,2996,2000,2008
BoyerMooreMajority,1000,majority,0,094,3000,2000,2004
BoyerMooreMajority,1000,majority,0,094,2999,2000,2005
BoyerMooreMajority,1000,majority,0,094,2999,2000,2005
BoyerMooreMajority,1000,balanced,0,093,2969,2000,2035
BoyerMooreMajority,1000,balanced,0,092,2933,2000,2071
BoyerMooreMajority,1000,balanced,0,094,2959,2000,2045
BoyerMooreMajority,1000,balanced,0,092,2955,2000,2049
BoyerMooreMajority,1000,balanced,0,093,2976,2000,2028
BoyerMooreMajority,10000,random,0,772,25007,20000,24997
BoyerMooreMajority,10000,random,0,791,25006,20000,24998
BoyerMooreMajority,10000,random,0,179,25010,20000,24994
BoyerMooreMajority,10000,random,0,093,25004,20000,25000
BoyerMooreMajority,10000,random,0,093,25003,20000,25001
BoyerMooreMajority,10000,majority,0,148,30000,20000,20004
BoyerMooreMajority,10000,majority,0,149,29992,20000,20012
BoyerMooreMajority,10000,majority,0,150,29999,20000,20005
BoyerMooreMajority,10000,majority,0,159,29996,20000,20008
BoyerMooreMajority,10000,majority,0,154,29999,20000,20005
BoyerMooreMajority,10000,balanced,0,140,29859,20000,20145
BoyerMooreMajority,10000,balanced,0,156,29873,20000,20131
BoyerMooreMajority,10000,balanced,0,152,29902,20000,20102
BoyerMooreMajority,10000,balanced,0,155,29934,20000,20070
BoyerMooreMajority,10000,balanced,0,156,29953,20000,20051
BoyerMooreMajority,100,random,0,016,251,200,253
BoyerMooreMajority,100,random,0,018,251,200,253
BoyerMooreMajority,100,random,0,009,251,200,253
BoyerMooreMajority,100,random,0,008,251,200,253
BoyerMooreMajority,100,random,0,008,251,200,253
BoyerMooreMajority,100,random,0,008,251,200,253
BoyerMooreMajority,100,random,0,011,251,200,253
BoyerMooreMajority,100,random,0,010,251,200,253
BoyerMooreMajority,100,random,0,009,251,200,253
BoyerMooreMajority,100,random,0,010,251,200,253
BoyerMooreMajority,100,majority,0,011,288,200,216
BoyerMooreMajority,100,majority,0,011,291,200,213
BoyerMooreMajority,100,majority,0,011,300,200,204
BoyerMooreMajority,100,majority,0,010,294,200,210
BoyerMooreMajority,100,majority,0,012,289,200,215
BoyerMooreMajority,100,majority,0,010,294,200,210
BoyerMooreMajority,100,majority,0,010,297,200,207
BoyerMooreMajority,100,majority,0,010,295,200,209
BoyerMooreMajority,100,majority,0,010,297,200,207
BoyerMooreMajority,100,majority,0,010,299,200,205
BoyerMooreMajority,100,balanced,0,012,285,200,219
BoyerMooreMajority,100,balanced,0,010,292,200,212
BoyerMooreMajority,100,balanced,0,011,283,200,221
BoyerMooreMajority,100,balanced,0,010,287,200,217
BoyerMooreMajority,100,balanced,0,010,293,200,211
BoyerMooreMajority,100,balanced,0,012,289,200,215
BoyerMooreMajority,100,balanced,0,010,286,200,218
BoyerMooreMajority,100,balanced,0,010,291,200,213
BoyerMooreMajority,100,balanced,0,010,285,200,219
BoyerMooreMajority,100,balanced,0,011,294,200,210
BoyerMooreMajority,1000,random,0,080,2501,2000,2503
BoyerMooreMajority,1000,random,0,081,2501,2000,2503
BoyerMooreMajority,1000,random,0,082,2501,2000,2503
BoyerMooreMajority,1000,random,0,079,2501,2000,2503
BoyerMooreMajority,1000,random,0,080,2501,2000,2503
BoyerMooreMajority,1000,random,0,080,2501,2000,2503
BoyerMooreMajority,1000,random,0,079,2502,2000,2502
BoyerMooreMajority,1000,random,0,080,2502,2000,2502
BoyerMooreMajority,1000,random,0,079,2501,2000,2503
BoyerMooreMajority,1000,random,0,079,2502,2000,2502
BoyerMooreMajority,1000,majority,0,091,2986,2000,2018
BoyerMooreMajority,1000,majority,0,095,2985,2000,2019
BoyerMooreMajority,1000,majority,0,093,2990,2000,2014
BoyerMooreMajority,1000,majority,0,092,2999,2000,2005
BoyerMooreMajority,1000,majority,0,091,2980,2000,2024
BoyerMooreMajority,1000,majority,0,092,3000,2000,2004
BoyerMooreMajority,1000,majority,0,093,2995,2000,2009
BoyerMooreMajority,1000,majority,0,092,2983,2000,2021
BoyerMooreMajority,1000,majority,0,093,2996,2000,2008
BoyerMooreMajority,1000,majority,0,090,2977,2000,2027
BoyerMooreMajority,1000,balanced,0,092,2953,2000,2051
BoyerMooreMajority,1000,balanced,0,091,2982,2000,2022
BoyerMooreMajority,1000,balanced,0,093,2975,2000,2029
BoyerMooreMajority,1000,balanced,0,092,2963,2000,2041
BoyerMooreMajority,1000,balanced,0,092,2983,2000,2021
BoyerMooreMajority,1000,balanced,0,095,2987,2000,2017
BoyerMooreMajority,1000,balanced,0,091,2966,2000,2038
BoyerMooreMajority,1000,balanced,0,096,2967,2000,2037
BoyerMooreMajority,1000,balanced,0,067,2945,2000,2059
BoyerMooreMajority,1000,balanced,0,026,2983,2000,2021
BoyerMooreMajority,10000,random,0,088,25004,20000,25000
BoyerMooreMajority,10000,random,0,092,25005,20000,24999
